feature loss: 30.05415153503418, feature weight: 0.01
output loss: 0.695934534072876, output weight: 1.0
task loss: 1.6651389598846436, task weight: 1.0
feature loss: 29.73211669921875, feature weight: 0.01
output loss: 1.663862943649292, output weight: 1.0
task loss: 0.5351108312606812, task weight: 1.0
feature loss: 29.55910873413086, feature weight: 0.01
output loss: 0.7881724238395691, output weight: 1.0
task loss: 0.41772764921188354, task weight: 1.0
feature loss: 29.51398468017578, feature weight: 0.01
output loss: 0.6783837080001831, output weight: 1.0
task loss: 0.43998458981513977, task weight: 1.0
feature loss: 29.517505645751953, feature weight: 0.01
output loss: 0.7821484208106995, output weight: 1.0
task loss: 0.3668409287929535, task weight: 1.0
feature loss: 30.30449676513672, feature weight: 0.01
output loss: 1.1874518394470215, output weight: 1.0
task loss: 0.575303316116333, task weight: 1.0
feature loss: 29.85348129272461, feature weight: 0.01
output loss: 0.5606355667114258, output weight: 1.0
task loss: 0.39652472734451294, task weight: 1.0
feature loss: 29.621244430541992, feature weight: 0.01
output loss: 0.7451951503753662, output weight: 1.0
task loss: 0.514609694480896, task weight: 1.0
feature loss: 29.630460739135742, feature weight: 0.01
output loss: 0.5291454195976257, output weight: 1.0
task loss: 0.4502165913581848, task weight: 1.0
feature loss: 29.77912139892578, feature weight: 0.01
output loss: 0.43508943915367126, output weight: 1.0
task loss: 0.3411719799041748, task weight: 1.0
feature loss: 29.826459884643555, feature weight: 0.01
output loss: 0.5660544633865356, output weight: 1.0
task loss: 0.3124679625034332, task weight: 1.0
feature loss: 29.841384887695312, feature weight: 0.01
output loss: 0.5529966354370117, output weight: 1.0
task loss: 0.31141477823257446, task weight: 1.0
feature loss: 29.837257385253906, feature weight: 0.01
output loss: 0.36811158061027527, output weight: 1.0
task loss: 0.554547905921936, task weight: 1.0
feature loss: 29.82921600341797, feature weight: 0.01
output loss: 0.42061352729797363, output weight: 1.0
task loss: 0.4781760573387146, task weight: 1.0
feature loss: 29.817386627197266, feature weight: 0.01
output loss: 0.40226539969444275, output weight: 1.0
task loss: 0.3898860514163971, task weight: 1.0
feature loss: 29.801511764526367, feature weight: 0.01
output loss: 0.3273899555206299, output weight: 1.0
task loss: 0.37665340304374695, task weight: 1.0
feature loss: 29.7901554107666, feature weight: 0.01
output loss: 0.40571796894073486, output weight: 1.0
task loss: 0.23881089687347412, task weight: 1.0
feature loss: 29.78263282775879, feature weight: 0.01
output loss: 0.48152774572372437, output weight: 1.0
task loss: 0.39480021595954895, task weight: 1.0
feature loss: 29.775484085083008, feature weight: 0.01
output loss: 0.38687342405319214, output weight: 1.0
task loss: 0.14693328738212585, task weight: 1.0
feature loss: 29.7733097076416, feature weight: 0.01
output loss: 0.3158046007156372, output weight: 1.0
task loss: 0.2821013331413269, task weight: 1.0
feature loss: 29.75800895690918, feature weight: 0.01
output loss: 0.40094855427742004, output weight: 1.0
task loss: 0.3986109793186188, task weight: 1.0
feature loss: 29.741872787475586, feature weight: 0.01
output loss: 0.41576218605041504, output weight: 1.0
task loss: 0.40055379271507263, task weight: 1.0
feature loss: 29.73143768310547, feature weight: 0.01
output loss: 0.3213520348072052, output weight: 1.0
task loss: 0.3641088604927063, task weight: 1.0
feature loss: 29.71634864807129, feature weight: 0.01
output loss: 0.3181532323360443, output weight: 1.0
task loss: 0.24492685496807098, task weight: 1.0
feature loss: 29.698862075805664, feature weight: 0.01
output loss: 0.301000714302063, output weight: 1.0
task loss: 0.2559660077095032, task weight: 1.0
feature loss: 29.69698715209961, feature weight: 0.01
output loss: 0.31200212240219116, output weight: 1.0
task loss: 0.3954830765724182, task weight: 1.0
feature loss: 29.690061569213867, feature weight: 0.01
output loss: 0.28856778144836426, output weight: 1.0
task loss: 0.34625768661499023, task weight: 1.0
feature loss: 29.681480407714844, feature weight: 0.01
output loss: 0.293251633644104, output weight: 1.0
task loss: 0.43883803486824036, task weight: 1.0
feature loss: 29.67656707763672, feature weight: 0.01
output loss: 0.37443646788597107, output weight: 1.0
task loss: 0.324293315410614, task weight: 1.0
